Varlık,Fiyat,EMA_Durumu,RSI,StochRSI,TSI,SSL&EMA_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,Supertrend_Sinyal,Alim_Bandi,Satim_Bandi,BB_Fiyat_Durum,BB_Sikisma,BB_Bant_Durum,Destek_Direnc
AGYO,7.5,1.82,52.23,49.09,-0.27,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,6.90-7.13 (%4.9 altta),8.14-8.79 (%8.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 7.40 (%1.4 altta) | EMA55 Direnç: 7.64 (%1.8 üstte)
AHGAZ,38.28,26.18,63.78,71.86,0.9,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 36.48 (%4.7 altta) | EMA5 Direnç: 38.48 (%0.5 üstte)
AHSGY,14.23,-2.93,23.2,8.72,-0.96,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,-,20.46-21.30 (%43.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 14.66 (%3.0 üstte)
AKBNK,74.2,6.36,63.07,76.36,0.63,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,86.96-90.21 (%17.2 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 73.31 (%1.2 altta)
AKCNS,245.1,22.68,55.18,58.92,0.35,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,234.00-238.90 (%2.5 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 244.94 (%0.1 altta)
AKENR,10.56,1.33,50.82,53.11,-0.49,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,12.77-14.09 (%20.9 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 10.47 (%0.9 altta) | EMA55 Direnç: 10.78 (%2.1 üstte)
AKFGY,2.64,2.21,51.48,44.86,-0.62,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,2.50-2.60 (%1.5 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 2.61 (%1.0 altta) | EMA55 Direnç: 2.68 (%1.5 üstte)
AKFIS,17.11,68.65,51.55,15.82,-0.41,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,3.34-3.40 (%80.1 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 15.55 (%9.1 altta) | EMA21 Direnç: 17.15 (%0.2 üstte)
AKFYE,26.5,24.17,67.77,69.21,0.21,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🔥 AL (Taze Kırılım),19.98-22.28 (%15.9 altta),-,🚨Fiyat Bandın Üzerinde!,🟠 Daralıyor,5.68,EMA5 Destek: 24.28 (%8.4 altta)
AKGRT,6.23,0.78,41.85,75.03,-0.5,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,8.35-8.71 (%34.0 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 6.18 (%0.8 altta) | EMA21 Direnç: 6.28 (%0.9 üstte)
AKHAN,37.54,999,40.47,12.07,-0.84,-,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🔴 Düşüş Trendinde,-,-,🚨Fiyat Bandın Altında!,🟡 Normal Genişlik,-0.52,EMA100 Destek: 35.94 (%4.3 altta) | EMA5 Direnç: 38.56 (%2.7 üstte)
AKMGY,252.25,6.82,46.34,14.42,-0.82,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,225.72-238.83 (%5.3 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 250.50 (%0.7 altta) | EMA5 Direnç: 252.38 (%0.1 üstte)
AKSA,11.36,3.67,49.81,74.91,-0.16,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,9.21-9.36 (%17.6 altta),12.23-13.02 (%7.7 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 11.35 (%0.1 altta) | EMA55 Direnç: 11.49 (%1.2 üstte)
AKSEN,81.65,8.35,44.93,72.62,-0.5,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 80.58 (%1.3 altta) | EMA21 Direnç: 83.17 (%1.9 üstte)
AKSGY,9.96,14.04,53.66,9.77,-0.51,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 9.95 (%0.1 altta)
AKSUE,30.06,-2.12,28.51,30.67,-0.92,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,45.36-46.92 (%50.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 30.71 (%2.2 üstte)
AKYHO,2.18,2.89,47.55,80.38,-0.72,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 2.12 (%2.8 altta) | EMA21 Direnç: 2.18 (%0.0 üstte)
ALARK,117.4,17.97,67.97,86.54,0.87,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,90.70-96.00 (%18.2 altta),-,🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,0.72,EMA5 Destek: 113.84 (%3.0 altta)
ALBRK,9.2,11.3,66.06,43.57,0.26,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 8.98 (%2.4 altta)
ALCAR,699.0,1.19,46.44,81.43,-0.37,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,710.00-755.00 (%1.6 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 690.80 (%1.2 altta) | EMA21 Direnç: 703.42 (%0.6 üstte)
ALCTL,113.6,-1.07,32.38,86.85,-0.87,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⏳ BEKLE,-,-,🔴 Düşüş Trendinde,102.40-105.90 (%6.8 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 114.83 (%1.1 üstte)
ALFAS,40.16,1.09,44.7,51.24,-0.83,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,35.98-36.78 (%8.4 altta),45.76-47.94 (%13.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 39.73 (%1.1 altta) | EMA21 Direnç: 40.85 (%1.7 üstte)
ALGYO,3.73,2.92,54.34,46.44,-0.19,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,-,7.40-7.82 (%98.4 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 3.65 (%2.0 altta) | EMA55 Direnç: 3.93 (%5.3 üstte)
ALKA,8.26,1.3,49.12,65.28,-0.52,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,10.99-12.35 (%33.1 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA21 Destek: 8.23 (%0.4 altta) | EMA55 Direnç: 8.70 (%5.3 üstte)
ALKIM,15.99,1.3,51.8,62.09,-0.08,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,17.30-18.39 (%8.2 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 15.80 (%1.2 altta) | EMA55 Direnç: 16.39 (%2.5 üstte)
ALKLC,472.0,55.47,85.88,100.0,0.87,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,66.90-70.55 (%85.1 altta),-,🚨Fiyat Bandın Üzerinde!,🟡 Normal Genişlik,1.45,EMA5 Destek: 459.49 (%2.7 altta)
ALTNY,18.43,12.82,58.54,34.26,-0.61,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,14.21-14.53 (%21.2 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 17.74 (%3.8 altta)
ALVES,1.33,1.05,26.98,19.28,-0.94,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,3.72-4.08 (%179.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 1.32 (%1.0 altta) | EMA21 Direnç: 1.61 (%21.0 üstte)
ANELE,221.7,193.37,90.06,100.0,0.98,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 209.01 (%5.7 altta)
ANGEN,9.07,0.95,43.29,60.03,-0.81,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,10.38-11.53 (%14.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 8.98 (%0.9 altta) | EMA21 Direnç: 9.15 (%0.9 üstte)
ANHYT,106.4,3.81,50.52,89.46,0.14,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,96.95-100.00 (%6.0 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA55 Destek: 106.29 (%0.1 altta)
ANSGR,26.42,2.3,37.13,15.01,-0.95,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 25.83 (%2.2 altta) | EMA5 Direnç: 26.51 (%0.3 üstte)
ARASE,126.0,31.63,59.76,34.82,-0.19,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 122.55 (%2.7 altta)
ARCLK,95.85,2.69,56.39,93.88,0.01,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,112.60-116.70 (%17.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA21 Destek: 93.45 (%2.5 altta) | EMA55 Direnç: 96.79 (%1.0 üstte)
ARDYZ,79.6,43.87,45.37,5.37,-0.93,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🩸 SAT (Trend Kırıldı),-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA55 Destek: 76.64 (%3.7 altta) | EMA5 Direnç: 82.63 (%3.8 üstte)
ARENA,20.2,0.57,41.46,45.05,-0.69,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,36.02-39.48 (%78.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 20.08 (%0.6 altta) | EMA21 Direnç: 20.87 (%3.3 üstte)
ARFYE,20.58,999,37.9,100.0,-0.63,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 20.08 (%2.4 altta) | EMA21 Direnç: 21.69 (%5.4 üstte)
ARMGD,183.2,43.32,44.58,33.42,-0.6,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,72.05-78.00 (%57.4 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA100 Destek: 166.66 (%9.0 altta) | EMA55 Direnç: 184.58 (%0.8 üstte)
ARSAN,3.9,10.6,53.26,12.89,-0.16,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,4.51-4.96 (%15.6 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 3.87 (%0.8 altta) | EMA5 Direnç: 3.94 (%0.9 üstte)
ARTMS,41.3,2.42,53.84,68.64,0.82,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,43.50-46.88 (%5.3 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 40.94 (%0.9 altta) | EMA5 Direnç: 41.61 (%0.8 üstte)
ARZUM,1.56,-0.02,39.81,25.61,-0.86,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Direnç: 1.56 (%0.0 üstte)
ASELS,403.75,24.17,60.18,49.92,-0.55,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🟢 Yükseliş Trendinde,171.28-177.57 (%56.0 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 393.09 (%2.6 altta)
ASGYO,11.43,2.18,56.51,83.66,-0.08,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,10.26-10.48 (%8.3 altta),11.95-13.14 (%4.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA200 Destek: 11.41 (%0.2 altta) | EMA100 Direnç: 11.46 (%0.3 üstte)
ASTOR,300.75,30.26,42.17,11.35,-0.79,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,271.00-283.75 (%5.7 altta),331.75-363.50 (%10.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 290.37 (%3.5 altta) | EMA5 Direnç: 304.14 (%1.1 üstte)
ASUZU,49.28,2.31,50.84,84.2,-0.33,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,65.72-72.87 (%33.4 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 48.62 (%1.3 altta) | EMA55 Direnç: 51.73 (%5.0 üstte)
ATAGY,10.4,3.53,51.44,48.86,-0.64,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,-,13.82-14.20 (%32.9 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA21 Destek: 10.24 (%1.6 altta) | EMA55 Direnç: 10.86 (%4.4 üstte)
ATAKP,41.42,-1.3,27.56,11.61,-0.83,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,-,54.60-56.50 (%31.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 41.96 (%1.3 üstte)
ATATP,289.75,43.95,51.03,11.65,-0.74,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🟢 Yükseliş Trendinde,138.94-141.63 (%51.1 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 263.80 (%9.0 altta) | EMA21 Direnç: 292.20 (%0.8 üstte)
ATATR,13.38,999,39.74,9.4,-0.82,-,🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 13.27 (%0.8 altta) | EMA21 Direnç: 14.16 (%5.8 üstte)
ATEKS,98.0,0.44,43.34,40.06,-0.76,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,79.45-87.90 (%10.3 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 97.57 (%0.4 altta) | EMA21 Direnç: 101.89 (%4.0 üstte)
ATLAS,6.34,2.82,44.42,59.51,-0.74,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,5.80-5.97 (%5.8 altta),8.08-8.33 (%27.4 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 6.17 (%2.7 altta) | EMA21 Direnç: 6.41 (%1.1 üstte)
ATSYH,128.8,47.0,57.63,56.38,0.59,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,48.64-50.00 (%61.2 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 126.44 (%1.8 altta)
AVGYO,16.7,19.36,53.72,50.05,-0.25,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,9.33-9.58 (%42.6 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 16.66 (%0.3 altta)
AVHOL,34.0,-0.47,34.86,28.96,-0.83,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 34.16 (%0.5 üstte)
AVOD,4.37,6.59,59.98,74.2,0.61,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,4.98-5.45 (%14.0 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 4.36 (%0.2 altta)
AVPGY,55.75,3.41,59.58,49.55,0.57,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,46.71-48.43 (%13.1 altta),55.85-57.10 (%0.2 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 54.97 (%1.4 altta)
AVTUR,13.14,3.99,53.23,100.0,0.3,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,17.17-18.25 (%30.7 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA21 Destek: 12.70 (%3.3 altta) | EMA55 Direnç: 14.00 (%6.5 üstte)
AYCES,437.5,-0.93,40.01,43.23,-0.12,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,405.75-425.50 (%2.7 altta),459.25-503.50 (%5.0 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Direnç: 441.62 (%0.9 üstte)
AYDEM,25.78,5.88,47.5,3.12,-0.9,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,27.36-28.80 (%6.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 24.35 (%5.6 altta) | EMA100 Direnç: 25.81 (%0.1 üstte)
